cartera;especie_codigo_sam;secid;rubro_st;valor_nominal;valor_contable;fecha_incorporacion_tenencia;fecha_vencimiento;tipo_valoracion;isin
ALC;TZX26;;1210-393;40600000000;64290100000.0;;;2;
TRD;TZX26;;1210-005;70000000;120190000.0;;;2;
TRD;TDG24;;1210-086;590660;558173700.0;;;1;
ALC;TDG24;;1751-369;15000000;13026009769.5;;;2;
ALC;TDG24;;1210-415;16500000;14328610746.45;;;2;
ALC;TDG24;;1751-368;60000000;52104039078.0;;;2;
TRD;TZX25;;1210-005;250000000;381562500.0;;;1;
INV;PNSCO;;1214-539;1000000000;1135000000.0;;;2;
INV;RCCLO;;1214-550;2708064515;3022741611.64;;;2;
TRD;RCCLO;;1210-013;650000000;725237500.0;;;2;
TRD;T6X4P;;1210-005;3984518989;11672091222.99;;;1;
TRD;X20Y4;;1210-005;1880718878;3362725353.86;;;1;
ALC;X20Y4;;1411-060;500000000;894000000.0;;;1;
INV;BSCOO;;1214-562;303758199;364084577.32;;;2;
TRD;TDJ24;;1210-086;503889;499353999.0;;;1;
ALC;PDG24;;1210-375;91500000;0.0;;;2;
ALC;PDG24;;1210-375;91500000;0.0;;;2;
TRD;T2V4C;;1250-433;162070;143594020.0;;;1;
ALC;BA37X;;1250-401;2663;1167072.64;;;2;
INV;MGCJO;;1257-702;5000000;5013000.0;;;2;
ALC;PT3X5;;1210-375;143500000000;0.0;;;2;
ALC;PT3X5;;1210-375;143500000000;0.0;;;2;
ALC;V23N4;;1250-581;1398504;1199100684.62;;;2;
ALC;V23N4;;1250-581;1398504;1199100684.62;;;2;
ALC;BB37X;;1250-401;16340;6415449.46;;;2;
TRD;94;;1411-063;500000000;512500000.0;;;2;
TRD;MGCKO;;1210-013;1000000000;1053640000.0;;;2;
ALC;V16N4;;1250-581;18180297;15588090258.76;;;2;
ALC;V16N4;;1250-581;18180297;15588090258.76;;;2;
INV;RCCMO;;1257-402;5000000;5060000.0;;;2;
INV;TN60O;;1214-540;1524300000;1744866210.0;;;2;
TRD;TN60O;;1210-013;2475276000;2865874552.8;;;1;
ALC;N08S4;;1411-162;1800373019457;1676399333337.19;;;2;
INV;TN59O;;1214-540;1402483464;1636137209.1;;;2;
TRD;TN59O;;1210-013;608580;717521.45;;;2;
INV;TYCYO;;1214-554;600000000;677340000.0;;;2;
TRD;TYCYO;;1210-013;300000000;340181923.5;;;2;
INV;MDSVS;;1210-161;975334666;617289310.11;;;2;
ALC;TG25C;;1210-447;48000000000;148315200000.0;;;2;
INV;TN61O;;1214-540;2000000000;2285400000.0;;;2;
TRD;TN61O;;1210-013;400000000;448320000.0;;;2;
INV;TYCXO;;1214-554;500000000;523400000.0;;;2;
TRD;T5X4;;1210-005;16000000;60739310.24;;;1;
ALC;BPOC7;;1258-3022;4160259;2901101.44;;;2;
ALC;BPOA7;;1258-3022;2773506;2440487.97;;;2;
INV;MC49T;;1214-569;800000000;813840000.0;;;2;
INV;GN40O;;1257-602;2173525;2257857.77;;;2;
INV;BVCEO;;1214-568;200000000;204720000.0;;;2;
INV;CS41O;;1214-566;415680000;515526336.0;;;2;
TRD;CS41O;;1210-013;265680000;330365366.25;;;2;
ALC;T4X5P;;1210-175;3000000000;5362800000.0;;;2;
ALC;N13M4;;1210-408;1800373019457;1676399333337.19;;;2;
TRD;DA24C;;1210-086;36214;30238690.0;;;1;
ALC;BNCRO;;1411-299;3000000000;3009000000.0;;;2;
INV;BAL25;;1214-545;3200000000;3241280000.0;;;2;
TRD;BAL25;;1210-005;500000000;507766203.0;;;2;
TRD;TZX28;;1210-005;290000000;436450000.0;;;1;
TRD;CS43O;;1210-013;200000000;233000000.0;;;1;
ALC;BPOD7;;1258-3022;4160259;2874380.77;;;2;
TRD;S31E5;;1210-005;630000000;645750000.0;;;1;
TRD;S31E5;;3219-082;500000000;512500000.0;;;1;
ALC;V22N4;;1250-581;3081161;2641838896.79;;;2;
ALC;V22N4;;1250-581;3081161;2641838896.79;;;2;
TRD;TV25D;;1250-433;165597;147878121.0;;;1;
