"origen";"especie";"rubro_altair";"amount";"nomb";"ddate";"mat";"isin";"tc";"ocig";"gros";"rnm";"partition_date"
Cartera TRD;TDJ24;"1210086";499353999;TDJ24;"45473";MAT3;ARARGE320EB0;"032";;;;"2024-03-27"
Cartera TRD;T2V4C;"1250433";143594020;T2V4C;"45565";MAT3;ARARGE320DR8;"840";;;;"2024-03-27"
Cartera TRD;TZX28;"1210005";436450000;BONCER V30/6/28;"46934";MAT5;AR0404416296;"032";;;;"2024-03-27"
especies_manual;T4X4P;"3219064";-130524500;BONCER +4 %;"45579";MAT3;ARARGE320DH9;"032";;;;"2024-03-27"
Cartera TRD;TB24;"1210005";2340165998.22;BONO BADL TB24;"45400";MAT2;ARARGE320C26;"032";;;;"2024-03-27"
Cartera ALC;V22N4;"1250581";2641838896.7887;LEDIV V22/11/24;"45618";MAT3;AR0000V22N4;"840";;;;"2024-03-27"
Cartera INV;PNQCO;"1214539";7916411242.106753;ON PAE CL 25;"45730";MAT3;ARAXIO5600W9;"032";;;;"2024-03-27"
especies_manual;T2X5P;"1711429";7427306562;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
Cartera TRD;T2X5P;"1210005";1371329888.85;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
Cartera INV;TECHO1;"1214551";827731.635;ON TECHO CL1;"45957";MAT4;ARUNTE560016;"032";;;;"2024-03-27"
especies_manual;TDG24;"1751369";13026009769.51;TDG24;"45534";MAT3;ARARGE320DW8;"032";;;;"2024-03-27"
Cartera INV;GN40O;"1257602";1935924958.222759;ON GENNIA 40;"45852";MAT4;AREMGA5600S5;"840";;;;"2024-03-27"
Cartera TRD;RCCNO;"1210013";694016504.72;ON ARCOR CL 22;"45571";MAT3;AR0421372274;"032";;;;"2024-03-27"
Cartera INV;VWCAO;"1214570";1218600000;ON VW FINAN SER;"45577";MAT3;AR0806991300;"032";;;;"2024-03-27"
especies_manual;RCCMO;"1257402";4338528502;ON ARCOR CL21;"45983";MAT4;ARARCS5600I4;"840";;;;"2024-03-27"
Cartera TRD;RCCLO;"1210013";725237500;ON ARCOR12/5/25;"45789";MAT4;ARARCS5600H6;"032";;;;"2024-03-27"
especies_manual;BPOB7;"1258302";1859064650.96;BOPREAL S 1B;"46691";MAT5;AR0772251226;"840";;;;"2024-03-27"
especies_manual;BPOA7;"1258302";2092515139.45;BOPREAL S 1A;"46691";MAT5;AR0684877571;"840";;;;"2024-03-27"
Cartera INV;PNOCO;"1214539";1144400000;PNOCO CL 23;"45508";MAT3;ARAXIO5600U3;"032";;;;"2024-03-27"
Cartera INV;PNSCO;"1214539";1135000000;ON PAE CL27;"45509";MAT3;ARAXIO5600Y5;"032";;;;"2024-03-27"
Cartera INV;CS41O;"1214566";515526336;CS41O;"45569";MAT3;ARCRES5600Y3;"032";;;;"2024-03-27"
Cartera ALC;PARPCD;"1210350";7019699.2;PAR $ LEY ARG;"50770";MAT5;ARARGE03E105;"032";;;;"2024-03-27"
Cartera ALC;TVPPCD;"1210350";123363.352;PBI EN ARP ARG;"49658";MAT5;ARARGE03E147;"032";;;;"2024-03-27"
Cartera TRD;TX26;"1210005";1216880988.75;BONCER2026;"46335";MAT5;ARARGE3209W8;"032";;;;"2024-03-27"
Cartera TRD;BAL25;"1210005";507766203;LT MUNI CORDOBA;"45732";MAT3;AR0213780296;"032";;;;"2024-03-27"
Cartera TRD;DA24C;"1210086";30238690;B DUAL 30/04/24;"45412";MAT2;ARARGE320DO5;"032";;;;"2024-03-27"
