ALC;TB27C;;1210448;10462500000;11081428116.76;2022-11-18;2023-01-20;2027-11-23;2;TB27C;46714;MAT2;ARARGE320D33;032;;;
ALC;TB27C;;1210413;1800000000;1947663270;2022-11-18;2023-01-20;2027-11-23;1;TB27C;46714;MAT2;ARARGE320D33;032;;;
INV;TTC5O;;1214564;3600000000;4325400000;2023-01-11;2023-01-16;2024-07-16;2;ON TEC C5;45489;MAT2;ARTECP560065;032;;;
INV;LOC1O;;1214565;576000000;627609600;2023-02-13;2023-02-22;2024-08-22;2;ON LOMA NEGRA;45526;MAT2;ARLOMA560033;032;;;
INV;MGCGO;;1214556;3652746873;4442512534.37;2023-01-06;2023-03-06;2024-07-11;2;ON PAMPA C15;45484;MAT2;ARPAMP5600H5;032;;;
TRD;MGCGO;;1210013;400000000;486778000;2023-01-06;2023-03-06;2024-07-11;2;ON PAMPA C15;45484;MAT2;ARPAMP5600H5;032;;;
ALC;T2X5P;;1711432;1365101359;4800175186.66;2023-03-09;2023-03-14;2025-02-14;2;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
ALC;T2X5P;;1711431;4102700000;14426532219.37;2023-03-09;2023-03-14;2025-02-14;2;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
ALC;T2X5P;;1210414;39488713869;138856168590.31;2023-03-09;2023-03-14;2025-02-14;2;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
ALC;T2X5P;;1210447;85000000000;298889813695.09;2023-03-09;2023-03-14;2025-02-14;2;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
ALC;T2X5P;;1711429;2112220052;7427306562.65;2023-03-09;2023-03-14;2025-02-14;2;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
TRD;T2X5P;;1210005;299744238;1371329888.85;2023-03-09;2023-03-14;2025-02-14;1;BONCER +4,25%;45702;MAT2;ARARGE320DI7;032;;;
TRD;T3X4P;;1210005;161639238;615643447.73;2023-03-09;2023-03-14;2024-04-14;1;BONCER +3,75%;45396;MAT2;ARARGE320DG1;032;;;
ALC;T4X4P;;3219064;28100000;130524500;2023-03-09;2023-03-14;2024-10-14;1;BONCER +4 %;45579;MAT2;ARARGE320DH9;032;;;
TRD;T4X4P;;1210005;684164529;3177944237.21;2023-03-09;2023-03-14;2024-10-14;1;BONCER +4 %;45579;MAT2;ARARGE320DH9;032;;;
INV;PNQCO;;1214539;7738523799;7916411242.11;2023-03-09;2023-03-14;2025-03-14;2;ON PAE CL 25;45730;MAT2;ARAXIO5600W9;032;;;
TRD;PNQCO;;1210013;490000000;508302743.13;2023-03-09;2023-03-14;2025-03-14;2;ON PAE CL 25;45730;MAT2;ARAXIO5600W9;032;;;
ALC;PT2X5;;1210375;193500000000;0.0;2023-03-10;2023-03-15;2025-02-01;2;PUT T2X5P;45689;MAT2;AR00000PT2X5;032;;;
